Legal	1	Voting trust	15	 A voting trust is an arrangement whereby the shares in a company of one or more shareholders and the voting rights attached thereto are legally transferred to a trustee, usually for a specified period of time (the "trust period"). In some voting trusts, the trustee may also be granted additional powers (such as to sell or redeem the shares). At the end of the trust period, the shares would ordinarily be re-transferred to the beneficiary(ies), although in practice many voting trusts contain provisions for them to re- vested on the voting trusts with identical terms. Voting trusts were made popular in Delaware corporate law, but they have since been adopted widely by other states in the United States. Several shareholders may wish to create a unified block of votes, which together gives them more power than the collective sum of their fragmented interests. In many countries, in order to call general meetings, shareholders need to hold a certain percentage of the issued shares of the company. By aggregating their shares, the shareholders can confer this power on themselves collectively where they might not have it individually. By putting the shares in a trustee who can vote them at arm's length from the beneficiary(ies) of the trust, this can in some circumstances mitigate or absolve the original shareholder from what might otherwise constitute a conflict of interest (although in practice, to resolve conflicts of interest the trust will ordinarily be "blind trust"; while all blind trusts are necessarily voting trusts, not all voting trusts are blind trusts).
Legal	2	Voluntary association	198	 A voluntary group or union (also sometimes called a voluntary organization, common-interest association,:266 association, or society) is a group of individuals who enter into an agreement, usually as volunteers, to form a body (or organization) to accomplish a purpose. Membership is not necessarily voluntary: in order for particular associations to function correctly they might need to be mandatory or at least strongly encouraged, as is common with many teachers unions in the US. Because of this, some people use the term common-interest association to describe groups which form out of a common interest, although this term is not widely used or understood. Voluntary associations may be incorporated or unincorporated; for example, in the US, unions gained additional powers by incorporating. In the UK, the terms Voluntary Association or Voluntary Organisation cover every type of group from a small local Residents' Association to large Associations (often Registered Charities) with multimillion-pound turnover that run large-scale business operations (often providing some kind of public service as subcontractors to government departments or local authorities). Some jurisdictions require that the association register with the police or other official body to inform the public of the association's existence. This could be a tool of political control or intimidation, and also a way of protecting the economy from fraud. In many such jurisdictions, only a registered association (or in the UK an incorporated body) is a juristic person whose members are not responsible for the financial acts of the association. Any group of persons may, of course, work as an informal association, but in such cases, each person making a transaction in the name of the association takes responsibility for that transaction, just as if it were that individual's personal transaction. There are many countries where the formation of truly independent Voluntary Associations is effectively proscribed by law or where they are theoretically legally permitted, but in practice are persecuted; for example, where membership brings unwelcome attention from police or other state agencies. ## History  Civil lecture at Budapest Brainbar  Voluntary groups are a broad and original form of nonprofit organizations, and have existed since ancient history. In Ancient Greece, for example, there were various organizations ranging from elite clubs of wealthy men (hetaireiai) to private religious or professional associations. In the United Kingdom, craft guilds were more successful than merchant guilds and formed livery companies which exerted significant influence on society. ## Legal status  A standard definition of an unincorporated association was given by Lord Justice Lawton in the English trust law case Conservative and Unionist Central Office v Burrell (1981):  > "unincorporated association" [means] two or more persons bound together for > one or more common purposes, not being business purposes, by mutual > undertakings, each having mutual duties and obligations, in an organisation > which has rules which identify in whom control of it and its funds rests and > upon what terms and which can be joined or left at will. In most countries, an unincorporated association does not have separate legal personality, and few members of the association usually enjoy limited liability. However, in some countries they are treated as having separate legal personality for tax purposes: for example, in the United Kingdom an unincorporated association is assessable to corporation tax. However, because of their lack of legal personality, legacies to unincorporated associations are sometimes subject to general common law prohibitions against purpose trusts. A special kind of partnership is a co-operative which is usually founded on one person—one vote principle and distributes its profits according to the amount of goods produced or bought by the members. Associations may take the form of a non-profit organization or they may be not-for-profit corporations; this does not mean that the association cannot make benefits from its activity, but all the benefits must be reinvested. Most associations have some kind of document or documents that regulate the way in which the body meets and operates. ## Common law  ### England and Wales  Main article: Unincorporated associations in English law  Under English law, an unincorporated association consists of two or more members bound by the rules of a society which has at some point in time, been founded. A transfer may be considered to have been made to the association's members directly as joint tenants or tenants in common. However, some purpose trusts are valid, and, accordingly, some cases have decided that the rights associated with unincorporated associations are held on this basis. The dominant theory, however, is that the rights are transferred to the members or officers absolutely, perhaps on trust for the members, but are importantly bound by contracts inter se. If it fails as a result of the dissolution, then the rights will be held on resulting trust for the contributors, unless they can be shown to have renounced their right to such a trust in their favour. If the rights are held subject to contract, then they will be divided among the surviving membership upon dissolution, according to the terms of the contracts inter se or an implied term according to contribution. If, as a result of this contract or statute, no member can claim, the rights will pass to the Crown as bona vacantia. This conclusion has also been suggested where the association dissolves because only one member remains, although this has been doubted by some commentators who believe the last members should be entitled to the rights. ### United States  Each state sets its own laws as to what constitutes an unincorporated association and how it is to be treated under the laws. In California, during the 1980s, then Los Angeles County district attorney Ira Reiner decided to use California's unincorporated associations law to attack street gangs and the habit of their members of tagging graffiti in public spaces, in an attempt to abate vandalism and to recover cleanup costs. He sued the street gangs by name, with cases titled such as City of Los Angeles v. The Bloods and City of Los Angeles v. The Crips, which then allowed the city to go after any member of the street gang, as a member of the unincorporated association being sued, for damages resulting from graffiti tagging involving that gang's name,. [citation needed]   In Texas, state law has statutes concerning unincorporated non-profit associations that allow unincorporated associations that meet certain criteria to operate as entities independent of their members, with the right to own property, make contracts, sue and be sued, with limited liability for their officers and members. New York state law regarding unincorporated associations actually gives members of the association more protection against liability than that given to either stockholders of corporations or members of limited liability companies. of the Associated Press organization, because the members of the AP are not liable for damages for the organization's actions unless the association as a whole approved it. ### Australia  In most states and territories in Australia, a similar set of laws allows not- for-profit associations to become legal entities with a limit to the liability of their members. An example of such a law, the Associations Incorporation Act that is in force in South Australia, allows for the creation of a legal entity able to buy and sell land and in general, enter into legally binding contracts. Many clubs and societies begin life as an unincorporated body and seek to attain incorporated status to protect its members from legal liability and in many cases to seek government financial assistance only available to an incorporated body. Clubs and societies wishing to incorporate must meet the provisions of the relevant state act and lodge their constitution with the corresponding state government authority. ### Canada  Under the Quebec Civil Code an association is categorized as a type of statutory specific contract set forth in a constitution. An association can become incorporated with its own legal identity so that it may, e.g., open a bank account, enter into contracts (rent real estate, hire employees, take out an insurance policy), or sue or be sued. They may count as unincorporated (association non-déclarée) or incorporated (association déclarée) and are created in terms of and governed by the Waldeck-Rousseau Act 1901. This is why association loi (de) 1901 is subjoined to their name, except in the Alsace-Moselle area, which is governed by local law in this regard (the area was German in 1901), and are therefore called association loi (de) 1908. If the association responding to defined criteria, like social or medical help, for example, they can be declared "public utility association" (association d'utilité publique) by French authorities. Associations act 1901 have a significant amount of freedom in their internal operation, such as management or authorized members. ### Germany  Main article: Eingetragener Verein  The German Civil Code sets out different rights and rules for an unincorporated association (nicht eingetragener Verein) with legal identity (Vereine, art. 21-79 BGB) versus an incorporated association (Eingetragener Verein) with full legal personality, which the law treats as partnerships (Gesellschaften, art. Associations can be for-profit (wirtschaftlicher Verein), non-for-profit (Idealverein), or public (gemeinnütziger Verein). [citation needed]  ### Israel  In Israel, many non-profit organizations (NPOs) and non-governmental organizations (NGOs) are established as registered nonprofit associations (Hebrew amutah, plural amutot) (some are established as public benefit companies (Hebrew Chevrah LeTo’elet Hatzibur) not to be confused with public benefit corporations). The amutah is successor to the Ottoman Society which predated the State of Israel, and was established by the now-superseded Ottoman Societies Law of 1909, based on the French law of 1901. An amutah must register with the Rasham Ha’amutot ('Registrar of Amutot'), under the purview of the Rashot Hata’agidim ('Corporations Authority') of the Ministry of Justice. ## Freedom of association  The freedom of association stands in the Universal Declaration of Human Rights:  “ Article 20      (1) Everyone has the right to freedom of peaceful assembly and association. ”      Article 11 of the European Convention on Human Rights also protects the right to freedom of assembly and association. Everyone has the right to freedom of peaceful assembly and to freedom of association with others, including the right to form and to join trade unions for the protection of his interests. No restrictions shall be placed on the exercise of these rights other than such as are prescribed by law and are necessary in a democratic society in the interests of national security or public safety, for the prevention of disorder or crime, for the protection of health or morals or for the protection of the rights and freedoms of others. This article shall not prevent the imposition of lawful restrictions on the exercise of these rights by members of the armed forces, of the police or of the administration of the State. ”      ## See also  Wikiquote has quotations related to: Voluntary association        Active citizenship   Anarchism   Associations Incorporation Act 1981 (Victoria)   Associations of the faithful (canon law)   Collective   Cooperative   Encyclopedia of Associations   Not-for-profit arts organization   Registered association (Finland)   Swiss association   Unincorporated association   Voluntaryism  ## Notes    1. 16 in The Origins of Western Economic Success: Commerce, Finance, and Government in Preindustrial Europe Archived 2013-11-14 at Archive.today. The role of institutions in the revival of trade: The law merchant, private judges, and the champagne fairs. The role of institutions in the revival of trade: The law merchant, private judges, and the champagne fairs. "Moral Resources and Political Capital: Theorizing the Relationship Between Voluntary Service Organizations and the Development of Civil Society in China". "We are not aware of any material differences between the law of Scotland and the law of England and Wales regarding unincorporated associations." ## References    For English law on Unincorporated Associations see: Ashton & Reid on Clubs and Associations, Jordans, 2nd ed (2011); Stewart, Campbell, Baughen The Law of Unincorporated Associations, OUP (2011), ISBN 978-0199600397.    v   t   e  Charitable giving      Main topics    Alms   Altruism   Donation   Fundraising   Philanthropy   Volunteering        Types of charitable   organizations    Charitable trust / Registered charity   Foundation     Private   Mutual-benefit nonprofit corporation   Non-governmental organization   Nonprofit organization   Public-benefit nonprofit corporation   Religious corporation   Voluntary association        Charity and religion    Dāna   Tithe   Tzedakah   Sadaqah   Zakat        Charity evaluators    Charity Navigator   CharityWatch   GiveWell   Giving What We Can   GreatNonprofits   GuideStar        Further topics    Alternative giving   Ball (dance party)   Benefit concert   Charity fraud   Charity / thrift / op shop   Click-to-donate site   Drive   Donor intent   Earning to give   Effective altruism   Ethics of philanthropy   List of charitable foundations     wealthiest   Master of Nonprofit Organizations   Matching funds   Telethon   Volunteer grant   Wall of kindness   Warm-glow giving        Authority control    GND: 4062714-7
Legal	3	Voidable	29	 Voidable, in law, is a transaction or action that is valid but may be annulled by one of the parties to the transaction. ## Definition  The act of invalidating the contract by the party exercising its rights to annul the voidable contract is usually referred to either as voiding the contract (in the United States and Canada) or avoiding the contract (in the United Kingdom, Australia and other common law countries). 477,480 ”      ## Right to rescind  Generally speaking, one party will have the right to elect whether to annul the transaction or to affirm it. The avoiding of a voidable transaction amounts to the rescinding it or exercising a power of rescission and as such, it is subject to the general law in that regard. In common law, there are generally said to be four "bars" to rescission, any one of which will cause the agreement to no longer be considered voidable:    1. delay    2. affirmation (or ratification)   3. restitutio in integrum being impossible   4. third party rights  Although the law varies from country to country, most disputes relating to whether a transaction is void or voidable turn on the ability to transfer title to goods. In many jurisdictions, if a transaction is valid, but voidable, title to good still passes under the transaction, and the recipient may sell them with good title. ## See also    Per minas   Voidable marriage   Voidable contract   Void (law)   C. Stephen Bigler, Void or Voidable? -- Curing Defects in Stock Issuances Under Delaware Law, 63 Business Lawyer 1109 (2008) (peer reviewed). it is legal by the sort of one party and from the other hand it goes illegal.the element of fraud and threat exist in it.
Legal	4	Void (law)	33	 (Learn how and when to remove these template messages)  This article may be in need of reorganization to comply with Wikipedia's layout guidelines. (November 2014) (Learn how and when to remove this template message)      This article needs additional citations for verification. Find sources: "Void" law – news · newspapers · books · scholar · JSTOR (May 2011) (Learn how and when to remove this template message)      (Learn how and when to remove this template message)      In law, void means of no legal effect. An action, document, or transaction which is void is of no legal effect whatsoever: an absolute nullity—the law treats it as if it had never existed or happened. The term void ab initio, which means "to be treated as invalid from the outset," comes from adding the Latin phrase ab initio (from the beginning) as a qualifier. For example, in many jurisdictions where a person signs a contract under duress, that contract is treated as being void ab initio. Null; ineffectual; nugatory; having no legal force or binding effect; > unable, in law, to support the purpose for which it was intended. which means there is no legal obligation therefore there will be no breach of contract since the contract is null. The dictionary further goes on to define void ab initio as:[citation needed]  > Void ab initio. A contract is null from the beginning if it seriously > offends law or public policy in contrast to a contract which is merely > voidable at the election of one of the parties to the contract. In practical terms, void is usually used in contradistinction to "voidable" and "unenforceable", the principal difference being that an action which is voidable remains valid until it is avoided. ## Significance  The significance of this usually lies in the possibility of third party rights being acquired in good faith. For example, in Cundy v Lindsay (1878), a fraudster using the name Blenkarn posed as a retailer and induced Lindsay & Co to deliver 250 dozen linen handkerchiefs to him. If the contract of sale to Blenkarn was held to be voidable for fraud, then Lindsay & Co would only have recourse against the insolvent Blenkarn. However, if (as was held) the contract of sale was void ab initio, then the title did not pass from Lindsay to Blenkarn in the first place, and Lindsay could claim back the handkerchiefs from Cundy as their property. In every case, third parties involved with bad faith in void or voidable contracts not only are affected by nullity, but may also be liable for statutory damages.
Legal	5	Violent disorder	23	 Sections 2(1) to (4) of that Act provide:      (1) Where 3 or more persons who are present together use or threaten unlawful violence and the conduct of them (taken together) is such as would cause a person of reasonable firmness present at the scene to fear for their personal safety, each of the persons using or threatening unlawful violence is guilty of violent disorder. (3) No person of reasonable firmness need actually be, or be likely to be, present at the scene. "3 or more persons"  See the following cases:    R v Mahroof, 88 Cr App R 317, CA   R v Fleming and Robinson  Crim LR 658, CA   R v McGuigan and Cameron  Crim LR 719, CA  "Violence"  This word is defined by section 8. ## Arrest  Before 1 January 2006 this offence was classified as an arrestable offence by virtue of section 24(1)(b) of the Police and Criminal Evidence Act 1984. See now sections 24 and 24A of that Act, as substituted by the Serious Organised Crime and Police Act 2005. A person guilty of violent disorder is liable on conviction on indictment to imprisonment for a term not exceeding five years, or to a fine, or to both, or, on summary conviction, to imprisonment for a term not exceeding six months, or to a fine not exceeding the statutory maximum, or to both. The following cases are relevant:    R v Tomlinson, 157 JP 695, CA   R v Hebron and Spencer, 11 Cr App R (S) 226,  Crim LR 839, CA   R v Watson & others (1990) 12 Cr App R (S) 477   R v Tyler and others, 96 Cr App R 332,  Crim LR 60, CA   R v Green  2 Cr App R (S) 191   R v Chapman (2002) 146 SJ   R v Rees  2 Cr App R (S) 20  ## References    Blackstones Police Manual Volume 4 General police duties, Fraser Simpson (2006).
Legal	6	Verdict	81	 Waiting for the Verdict, Abraham Solomon, 1859 Criminal procedure   Criminal trials and convictions   Rights of the accused        Fair trial   Pre-trial   Speedy trial   Jury trial   Counsel   Presumption of innocence   Exclusionary rule1   Self-incrimination   Double jeopardy2        Verdict        Conviction   Acquittal   Not proven3   Directed verdict        Sentencing        Mandatory   Suspended   Custodial   Periodic   Discharge   Guidelines    Totality5, 6   Dangerous offender4, 5    Capital punishment   Execution warrant    Cruel and unusual punishment    Imprisonment   Life imprisonment   Indefinite imprisonment        Post-sentencing        Parole   Probation   Tariff 6   Life licence6   Miscarriage of justice   Exoneration   Pardon   Sex offender registration   Sexually violent predator legislation1        Related areas of law        Criminal defenses   Criminal law   Evidence   Civil procedure        Portals        Law portal          1 US courts   2 Not in English/Welsh courts   3 Scottish courts   4 English/Welsh courts   5 Canadian courts   6 UK courts          v   t   e        In law, a verdict is the formal finding of fact made by a jury on matters or questions submitted to the jury by a judge. In a bench trial, the judge's decision near the end of the trial is simply referred to as a finding. In England and Wales, a coroner's findings used to be called verdicts but are, since 2009, called conclusions (see Coroner § Conclusions (previously called verdicts)). Ancient Orient Museum, Istanbul  ## Etymology  The term "verdict", from the Latin veredictum, literally means "to say the truth" and is derived from Middle English verdit, from Anglo-Norman: a compound of ver ("true", from the Latin vērus) and dit ("speech", from the Latin dictum, the neuter past participle of dīcere, to say). ## Criminal law  Further information: Criminal law  In a criminal case, the verdict, which may be either "not guilty" or "guilty"—except in Scotland where the verdict of "not proven" is also available—is handed down by the jury. A verdict of guilty in a criminal case is generally followed by a judgment of conviction rendered by judge, which in turn be followed by sentencing. In U.S. legal nomenclature, the verdict is the finding of the jury on the questions of fact submitted to it. If the defendant is found guilty, he can choose to appeal the case to the local Court of Appeals. ## Compromise verdict  A compromise verdict is a "verdict which is reached only by the surrender of conscientious convictions upon one material issue by some jurors in return for a relinquishment by others of their like settled opinion upon another issue and the result is one which does not command the approval of the whole panel", and, as such, is not permitted. ## Directed verdict  In a jury trial, a directed verdict is an order from the presiding judge to the jury to return a particular verdict. Typically, the judge orders a directed verdict after finding that no reasonable jury could reach a decision to the contrary. In a criminal case in the United States, once the prosecution has closed its case, the defendant may move for a directed verdict. The prosecution may never seek a directed verdict of guilty, as the defendant has a constitutional right to present a defense and rebut the prosecution's case and have a jury determine guilt or innocence (where a defendant has waived his/her right to a jury trial and allowed the judge to render the verdict, this still applies). In the American legal system, the concept of directed verdict has largely been replaced by judgment as a matter of law. ## General verdict  A general verdict is one in which the jury makes a complete finding and single conclusion on all issues presented to it. First, the jury finds the facts, as proved by the evidence, then it applies the law as instructed by the court, and finally it returns a verdict in one conclusion that settles the case. Such verdict is reported as follows:  "We the Jury find the issues for the plaintiff (or defendant, as the case may be) and assess his damages at one hundred thousand dollars." ## Sealed verdict  A sealed verdict is a verdict put into a sealed envelope when there is a delay in announcing the result, such as waiting for the judge, the parties and the attorneys to come back to court. ## Special verdict  In English law, a special verdict is a verdict by a jury that makes specific factual conclusions rather than (or in addition to) the jury's declaration of guilt or liability. For example, jurors may write down a specific monetary amount of damages, or a finding of proportionality, in addition to the jury's ultimate finding of liability. A special jury verdict form may be used to have the jury answer directed questions as to the required elements for a cause of action or special issues, and to demarcate monetary awards of damages by economic and non-economic damages, beneficiary and/or specific categories of damages (lost earning capacity, funeral expenses, loss of consortium, pain and suffering, etc.). In the words of William Blackstone, "The jury state the naked facts, as they find them to be proved, and pray the advice of the court thereon". The judge forced a special verdict in the famous 1884 case of R v. Dudley and Stephens, which established a precedent that necessity is not a defence to a charge of murder, but generally it is recommended that such verdicts should only be returned in the most exceptional cases. The jury has an historic function of tempering rules of law by common sense brought to bear upon the facts of a specific case.
Legal	7	Valid claim	21	 In some state court systems, a valid claim is called a Claim for relief or a Claim and delivery. [citation needed]  ## United States (Federal) law  Valid claim is used in a number of different contexts in Federal law. Under US bankruptcy law, a creditor must have a valid claim in order to attend the creditors' meeting and to collect all or part of a debt. A valid claim is used to describe beneficial interest in antiquities under the Native American Graves Protection and Repatriation Act (NAGPRA) of 1990. Under New York law, a lis pendens, or notice of pendency of a claim against real property, must be valid, such as a pending divorce lawsuit. [citation needed] Under the law of most states, a claim against an estate must be proven or validated.
Legal	8	Vacant possession	9	 Giving 'vacant possession' refers to a legal obligation to ensure that a property is in a state fit to be occupied at a given point in time. Vacant possession is most commonly known of on the sale and purchase of residential property and many find that, on the purchase of a new home, they do not obtain vacant possession as desired. It is a topical issue for lawyers and surveyors along with estate agents and others connected to land and buildings.
Legal	9	Unfair competition	26	 Find sources: "Unfair competition" – news · newspapers · books · scholar · JSTOR (April 2014) (Learn how and when to remove this template message)      Unfair (or disloyal) competition in commercial law is a deceptive business practice that causes economic harm to other businesses or to consumers. It includes a number of areas of law involving acts by one competitor or group of competitors which harm another in the field, and which may give rise to criminal offenses and civil causes of action. ## Common actions  The most common actions falling under the banner of unfair competition include:    Matters pertaining to antitrust law, known in the European Union as competition law. Antitrust violations constituting unfair competition occur when one competitor attempts to force others out of the market (or prevent others from entering the market) through tactics such as predatory pricing or obtaining exclusive purchase rights to raw materials needed to make a competing product. Trademark infringement and passing off, which occur when the maker of a product uses a name, logo, or other identifying characteristics to deceive consumers into thinking that they are buying the product of a competitor. In the United States, this form of unfair competition is prohibited under the common law and by state statutes, and governed at the federal level by the Lanham Act. Misappropriation of trade secrets, which occurs when one competitor uses espionage, bribery, or outright theft to obtain economically advantageous information in the possession of another. In the United States, this type of activity is forbidden by the Uniform Trade Secrets Act and the Economic Espionage Act of 1996. Trade libel, the spreading of false information about the quality or characteristics of a competitor's products, is prohibited at common law. Tortious interference, which occurs when one competitor convinces a party having a relationship with another competitor to breach a contract with, or duty to, the other competitor is also prohibited at common law. Various unfair business practices such as fraud, misrepresentation, and unconscionable contracts may be considered unfair competition, if they give one competitor an advantage over others. In the European Union, each member state must regulate unfair business practices in accordance with the principles laid down in the Unfair Commercial Practices Directive, subject to transitional periods. ## See also    Trade regulation law   Embrace, extend, and extinguish   Category killer   European Union competition law   Unfair business practices   United States antitrust law  ## References    1.
Legal	10	Turbary	38	   Turbary is the ancient right to cut turf, or peat, for fuel on a particular area of bog. The word may also be used to describe the associated piece of bog or peatland and, by extension, the material extracted from the turbary. Turbary rights, which are more fully expressed legally as common of turbary, are often associated with commonage, or, in some cases, rights over another person's land. Turbary was not always an unpaid right (easement), but, at least in Ireland, regulations governed the price that could be charged. Turf was widely used as fuel for cooking and domestic heating but also for commercial purposes such as evaporating brine to produce salt. In the New Forest of southern England, a particular right of turbary belongs not to an individual person, dwelling or plot of land, but to a particular hearth and chimney. ## Ecology  In more recent times, as the ecological significance of the bog lands has been better understood, and as the amount of remaining peat has been decreasing, partly due to fuel usage and partly due to usage of peat as fertiliser, as well as agricultural incursions into drained bog lands, some of the remaining bogs have come under environmental protection. ## Geography  Geographic regions of turbary works in Europe include the Netherlands, Ireland, Scotland and Wales, and The Broads in Norfolk and Suffolk, England, and the Audomarois marshlands near Saint-Omer, France The term is also used in colloquial language by older generations in Ireland, in places such as County Clare, to refer to the area where turf is cut, or to the material extracted. ISBN 0-19-861186-2.    v   t   e  Wetlands      Generally    Acrotelm   Aquatic ecosystem   Aquatic plants   Atchafalaya Basin   Backswamp   Bayou   Beach meadow   Blackwater river   Blanket bog   Bog   Bog garden   Brackish marsh   Callows   Carr   Cataract bog   Ciénega   Clean Water Act   Clearwater river   Coastal bog   Coniferous swamp   Constructed wetland   Dambo   Drainage basin   Estuary   Fen   Flark   Flood-meadow   Flooded grasslands and savannas   Freshwater marsh   Freshwater swamp forest   Grass valley   Guelta   Halosere   Hydrosere   Igapó   Ings   Interdunal wetland   Intertidal wetland   Karst   Kermi bog   Kettle   Lagg   Mangrove   Marsh   Marsh gas   Mere   Mire   Misse   Moorland   Muck   Mudflat   Muskeg   Oasis   Palsa bog   Paludification   Palustrine wetland   Peatland   Plateau bog   Pocosin   Polygonal bog   Pond   Peat swamp forest   Poor fen   Pothole   Quagmire   Raised bog   Reed bed   Rich fen   Riparian zone   River delta   Salt marsh   Salt pannes and pools   Shrub swamp   Slough   String bog   Swamp   Telmatology   Tidal marsh   Upland bog   Wet meadow   Will-o'-the-wisp   Várzea forest   Vernal pool   Whitewater river   Yaéré        Classification systems    Wetland classification   A Directory of Important Wetlands in Australia   National Wetlands Inventory   Ramsar Convention        Organizations    Bangladesh Haor and Wetland Development Board   Delta Waterfowl Foundation   Ducks Unlimited   Wetlands International   Wildfowl & Wetlands Trust
